Date,Close,Open,High,Low,Volume,Change
2013-07-16,12818.0,12739.0,12897.0,12661.0,505500.0,0.0062
2013-07-17,12975.0,12818.0,12975.0,12739.0,278000.0,0.012199999999999999
2013-07-18,12897.0,12897.0,13054.0,12818.0,620300.0,-0.006
2013-07-19,13211.0,12975.0,13447.0,12975.0,1250000.0,0.024300000000000002
2013-07-22,12975.0,13211.0,13290.0,12897.0,511000.0,-0.0179
2013-07-23,13054.0,12975.0,13133.0,12897.0,786000.0,0.0060999999999999995
2013-07-24,12897.0,13211.0,13369.0,12897.0,1630000.0,-0.012
2013-07-25,12818.0,11717.0,13054.0,11717.0,503300.0,-0.0060999999999999995
2013-07-26,12582.0,11560.0,12818.0,11560.0,687700.0,-0.0184
2013-07-29,12503.0,12582.0,12661.0,12425.0,663890.0,-0.0063
